Week,btc,bitcoin,cryptocurrency
2/27/2014,6,10,1
2/28/2014,6,10,1
3/1/2014,6,10,1
3/2/2014,6,9,1
3/3/2014,6,9,1
3/4/2014,6,9,1
3/5/2014,6,9,1
3/6/2014,6,9,1
3/7/2014,6,9,1
3/8/2014,6,9,1
3/9/2014,6,5,1
3/10/2014,6,5,1
3/11/2014,6,5,1
3/12/2014,6,5,1
3/13/2014,6,5,1
3/14/2014,6,5,1
3/15/2014,6,5,1
3/16/2014,5,4,1
3/17/2014,5,4,1
3/18/2014,5,4,1
3/19/2014,5,4,1
3/20/2014,5,4,1
3/21/2014,5,4,1
3/22/2014,5,4,1
3/23/2014,5,4,1
3/24/2014,5,4,1
3/25/2014,5,4,1
3/26/2014,5,4,1
3/27/2014,5,4,1
3/28/2014,5,4,1
3/29/2014,5,4,1
3/30/2014,4,4,1
3/31/2014,4,4,1
4/1/2014,4,4,1
4/2/2014,4,4,1
4/3/2014,4,4,1
4/4/2014,4,4,1
4/5/2014,4,4,1
4/6/2014,4,3,1
4/7/2014,4,3,1
4/8/2014,4,3,1
4/9/2014,4,3,1
4/10/2014,4,3,1
4/11/2014,4,3,1
4/12/2014,4,3,1
4/13/2014,4,3,1
4/14/2014,4,3,1
4/15/2014,4,3,1
4/16/2014,4,3,1
4/17/2014,4,3,1
4/18/2014,4,3,1
4/19/2014,4,3,1
4/20/2014,4,3,1
4/21/2014,4,3,1
4/22/2014,4,3,1
4/23/2014,4,3,1
4/24/2014,4,3,1
4/25/2014,4,3,1
4/26/2014,4,3,1
4/27/2014,4,2,1
4/28/2014,4,2,1
4/29/2014,4,2,1
4/30/2014,4,2,1
5/1/2014,4,2,1
5/2/2014,4,2,1
5/3/2014,4,2,1
5/4/2014,4,2,0
5/5/2014,4,2,0
5/6/2014,4,2,0
5/7/2014,4,2,0
5/8/2014,4,2,0
5/9/2014,4,2,0
5/10/2014,4,2,0
5/11/2014,3,2,0
5/12/2014,3,2,0
5/13/2014,3,2,0
5/14/2014,3,2,0
5/15/2014,3,2,0
5/16/2014,3,2,0
5/17/2014,3,2,0
5/18/2014,4,2,1
5/19/2014,4,2,1
5/20/2014,4,2,1
5/21/2014,4,2,1
5/22/2014,4,2,1
5/23/2014,4,2,1
5/24/2014,4,2,1
5/25/2014,5,3,0
5/26/2014,5,3,0
5/27/2014,5,3,0
5/28/2014,5,3,0
5/29/2014,5,3,0
5/30/2014,5,3,0
5/31/2014,5,3,0
6/1/2014,4,3,1
6/2/2014,4,3,1
6/3/2014,4,3,1
6/4/2014,4,3,1
6/5/2014,4,3,1
6/6/2014,4,3,1
6/7/2014,4,3,1
6/8/2014,4,3,0
6/9/2014,4,3,0
6/10/2014,4,3,0
6/11/2014,4,3,0
6/12/2014,4,3,0
6/13/2014,4,3,0
6/14/2014,4,3,0
6/15/2014,4,3,1
6/16/2014,4,3,1
6/17/2014,4,3,1
6/18/2014,4,3,1
6/19/2014,4,3,1
6/20/2014,4,3,1
6/21/2014,4,3,1
6/22/2014,4,2,0
6/23/2014,4,2,0
6/24/2014,4,2,0
6/25/2014,4,2,0
6/26/2014,4,2,0
6/27/2014,4,2,0
6/28/2014,4,2,0
6/29/2014,5,2,0
6/30/2014,5,2,0
7/1/2014,5,2,0
7/2/2014,5,2,0
7/3/2014,5,2,0
7/4/2014,5,2,0
7/5/2014,5,2,0
7/6/2014,5,2,0
7/7/2014,5,2,0
7/8/2014,5,2,0
7/9/2014,5,2,0
7/10/2014,5,2,0
7/11/2014,5,2,0
7/12/2014,5,2,0
7/13/2014,5,2,0
7/14/2014,5,2,0
7/15/2014,5,2,0
7/16/2014,5,2,0
7/17/2014,5,2,0
7/18/2014,5,2,0
7/19/2014,5,2,0
7/20/2014,4,2,0
7/21/2014,4,2,0
7/22/2014,4,2,0
7/23/2014,4,2,0
7/24/2014,4,2,0
7/25/2014,4,2,0
7/26/2014,4,2,0
7/27/2014,5,2,0
7/28/2014,5,2,0
7/29/2014,5,2,0
7/30/2014,5,2,0
7/31/2014,5,2,0
8/1/2014,5,2,0
8/2/2014,5,2,0
8/3/2014,5,2,1
8/4/2014,5,2,1
8/5/2014,5,2,1
8/6/2014,5,2,1
8/7/2014,5,2,1
8/8/2014,5,2,1
8/9/2014,5,2,1
8/10/2014,5,3,0
8/11/2014,5,3,0
8/12/2014,5,3,0
8/13/2014,5,3,0
8/14/2014,5,3,0
8/15/2014,5,3,0
8/16/2014,5,3,0
8/17/2014,5,3,0
8/18/2014,5,3,0
8/19/2014,5,3,0
8/20/2014,5,3,0
8/21/2014,5,3,0
8/22/2014,5,3,0
8/23/2014,5,3,0
8/24/2014,5,2,0
8/25/2014,5,2,0
8/26/2014,5,2,0
8/27/2014,5,2,0
8/28/2014,5,2,0
8/29/2014,5,2,0
8/30/2014,5,2,0
8/31/2014,5,2,0
9/1/2014,5,2,0
9/2/2014,5,2,0
9/3/2014,5,2,0
9/4/2014,5,2,0
9/5/2014,5,2,0
9/6/2014,5,2,0
9/7/2014,4,3,0
9/8/2014,4,3,0
9/9/2014,4,3,0
9/10/2014,4,3,0
9/11/2014,4,3,0
9/12/2014,4,3,0
9/13/2014,4,3,0
9/14/2014,5,2,0
9/15/2014,5,2,0
9/16/2014,5,2,0
9/17/2014,5,2,0
9/18/2014,5,2,0
9/19/2014,5,2,0
9/20/2014,5,2,0
9/21/2014,5,2,0
9/22/2014,5,2,0
9/23/2014,5,2,0
9/24/2014,5,2,0
9/25/2014,5,2,0
9/26/2014,5,2,0
9/27/2014,5,2,0
9/28/2014,5,2,0
9/29/2014,5,2,0
9/30/2014,5,2,0
10/1/2014,5,2,0
10/2/2014,5,2,0
10/3/2014,5,2,0
10/4/2014,5,2,0
10/5/2014,5,3,0
10/6/2014,5,3,0
10/7/2014,5,3,0
10/8/2014,5,3,0
10/9/2014,5,3,0
10/10/2014,5,3,0
10/11/2014,5,3,0
10/12/2014,7,2,0
10/13/2014,7,2,0
10/14/2014,7,2,0
10/15/2014,7,2,0
10/16/2014,7,2,0
10/17/2014,7,2,0
10/18/2014,7,2,0
10/19/2014,6,2,0
10/20/2014,6,2,0
10/21/2014,6,2,0
10/22/2014,6,2,0
10/23/2014,6,2,0
10/24/2014,6,2,0
10/25/2014,6,2,0
10/26/2014,6,2,0
10/27/2014,6,2,0
10/28/2014,6,2,0
10/29/2014,6,2,0
10/30/2014,6,2,0
10/31/2014,6,2,0
